module,instrument,side,entry_time,exit_time,entry_price,exit_price,pnl_pips,stop_pips,pip_size,partial_fills,units,pnl_dollars,balance_before_entry,usd_notional,entry_year,balance_after_exit,exit_year,balance_before_exit
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-07-30 15:41:00+00:00,2024-07-30 16:16:00+00:00,153.849,153.728,14.469999999998663,30.0,0.01,"[{""time"": ""2024-07-30T16:16:00+00:00"", ""price"": 153.649, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-07-30T16:16:00+00:00"", ""price"": 153.728, ""fraction"": 0.7, ""pips"": 12.09999999999809}]",47841.54724615492,44.99814348034189,3216.9871182002753,47841.54724615492,2024,3261.985261680617,2024,3216.9871182002753
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-08-14 13:41:00+00:00,2024-08-14 14:15:00+00:00,147.096,146.911,18.95000000000016,30.0,0.01,"[{""time"": ""2024-08-14T14:01:00+00:00"", ""price"": 146.89600000000002, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-08-14T14:15:00+00:00"", ""price"": 146.911, ""fraction"": 0.7, ""pips"": 18.500000000000227}]",46380.71685239525,59.75413335188661,3261.985261680617,46380.71685239525,2024,3321.7393950325036,2024,3261.985261680617
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-08-15 12:32:00+00:00,2024-08-15 13:21:00+00:00,1.28376,1.28195,20.860000000000536,25.0,0.0001,"[{""time"": ""2024-08-15T12:42:00+00:00"", ""price"": 1.28126, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-08-15T13:21:00+00:00"", ""price"": 1.28195, ""fraction"": 0.6, ""pips"": 18.100000000000893}]",38532.17698237704,80.37812118524056,3321.7393950325036,49466.067522896345,2024,3402.117516217744,2024,3321.7393950325036
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2024-10-10 13:43:00+00:00,2024-10-10 14:12:00+00:00,193.943,193.88,13.780000000000996,30.0,0.01,"[{""time"": ""2024-10-10T14:09:00+00:00"", ""price"": 193.693, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-10-10T14:12:00+00:00"", ""price"": 193.88, ""fraction"": 0.6, ""pips"": 6.30000000000166}]",48863.213347057936,45.31847339436777,3402.117516217744,63767.226366110815,2024,3447.435989612112,2024,3402.117516217744
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-11-07 14:39:00+00:00,2024-11-07 14:58:00+00:00,153.312,153.244,10.760000000000844,30.0,0.01,"[{""time"": ""2024-11-07T14:54:00+00:00"", ""price"": 153.11200000000002, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-11-07T14:58:00+00:00"", ""price"": 153.244, ""fraction"": 0.7, ""pips"": 6.800000000001205}]",51081.388765367126,35.857930873288254,3447.435989612112,51081.388765367126,2024,3483.2939204854,2024,3447.435989612112
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2025-01-10 15:18:00+00:00,2025-01-10 15:52:00+00:00,157.429,157.729,-30.000000000001137,30.0,0.01,"[{""time"": ""2025-01-10T15:52:00+00:00"", ""price"": 157.729, ""fraction"": 1.0, ""pips"": -30.000000000001137}]",53014.79878591913,-101.01552369408043,3483.2939204854,53014.79878591913,2025,3382.2783967913197,2025,3483.2939204854
gbpusd_long_h12-15_rr1.25_imb4_node2_ret20_sig1_sl20_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl240,gbpusd,long,2025-01-17 15:05:00+00:00,2025-01-17 15:42:00+00:00,1.22099,1.21899,-20.000000000000018,20.0,0.0001,"[{""time"": ""2025-01-17T15:42:00+00:00"", ""price"": 1.21899, ""fraction"": 1.0, ""pips"": -20.000000000000018}]",49043.03675347413,-98.08607350694835,3382.2783967913197,59881.05744562438,2025,3284.1923232843715,2025,3382.2783967913197
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2025-02-14 13:33:00+00:00,2025-02-14 16:33:00+00:00,152.218,152.111,10.699999999999932,30.0,0.01,"[{""time"": ""2025-02-14T16:33:00+00:00"", ""price"": 152.111, ""fraction"": 1.0, ""pips"": 10.699999999999932}]",48323.98900057729,33.969495930504465,3284.1923232843715,48323.98900057729,2025,3318.161819214876,2025,3284.1923232843715
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2025-03-14 14:21:00+00:00,2025-03-14 16:38:00+00:00,192.02,191.68099999999998,35.17000000000081,30.0,0.01,"[{""time"": ""2025-03-14T15:47:00+00:00"", ""price"": 191.77, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2025-03-14T16:31:00+00:00"", ""price"": 191.52, ""fraction"": 0.3, ""pips"": 50}, {""time"": ""2025-03-14T16:38:00+00:00"", ""price"": 191.68099999999998, ""fraction"": 0.3, ""pips"": 33.900000000002706}]",47619.54306694983,112.8097594757302,3318.161819214876,61605.87906114366,2025,3430.971578690606,2025,3318.161819214876
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2025-03-18 14:01:00+00:00,2025-03-18 17:01:00+00:00,149.543,149.401,15.939999999999714,30.0,0.01,"[{""time"": ""2025-03-18T16:48:00+00:00"", ""price"": 149.34300000000002, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2025-03-18T17:01:00+00:00"", ""price"": 149.401, ""fraction"": 0.7, ""pips"": 14.19999999999959}]",49600.00645763371,52.86669739884969,3430.971578690606,49600.00645763371,2025,3483.8382760894556,2025,3430.971578690606
