week,start_nav,end_nav,pnl_dollars,trades,weekly_return_pct
2022-12-12/2022-12-18,2129.2742308354104,2129.2742308354104,0.0,0,0.0
2022-12-19/2022-12-25,2129.2742308354104,2067.5252781411814,-61.748952694229246,1,-2.9000000000001025
2022-12-26/2023-01-01,2067.5252781411814,2146.0255631250247,78.50028498384337,2,3.7968234688003255
2023-01-02/2023-01-08,2146.0255631250247,2168.7827335382567,22.75717041323184,1,1.0604333333333216
2023-01-09/2023-01-15,2168.7827335382567,2105.888034265645,-62.894699272611824,1,-2.9000000000001136
2023-01-16/2023-01-22,2105.888034265645,2126.2245950125466,20.33656074690161,1,0.965699999999936
2023-01-23/2023-01-29,2126.2245950125466,2126.2245950125466,0.0,0,0.0
2023-01-30/2023-02-05,2126.2245950125466,2126.2245950125466,0.0,0,0.0
2023-02-06/2023-02-12,2126.2245950125466,2126.2245950125466,0.0,0,0.0
2023-02-13/2023-02-19,2126.2245950125466,2126.2245950125466,0.0,0,0.0
2023-02-20/2023-02-26,2126.2245950125466,2126.2245950125466,0.0,0,0.0
2023-02-27/2023-03-05,2126.2245950125466,2126.2245950125466,0.0,0,0.0
2023-03-06/2023-03-12,2126.2245950125466,2170.4968435298993,44.27224851735245,1,2.0822000000000562
2023-03-13/2023-03-19,2170.4968435298993,2107.5524350675296,-62.94440846236946,1,-2.9000000000001247
2023-03-20/2023-03-26,2107.5524350675296,2107.5524350675296,0.0,0,0.0
2023-03-27/2023-04-02,2107.5524350675296,2107.5524350675296,0.0,0,0.0
2023-04-03/2023-04-09,2107.5524350675296,2107.5524350675296,0.0,0,0.0
2023-04-10/2023-04-16,2107.5524350675296,2244.8053823663467,137.2529472988173,2,6.512433333333378
2023-04-17/2023-04-23,2244.8053823663467,2244.8053823663467,0.0,0,0.0
2023-04-24/2023-04-30,2244.8053823663467,2244.8053823663467,0.0,0,0.0
2023-05-01/2023-05-07,2244.8053823663467,2334.693174514285,89.8877921479383,2,4.004257689955448
2023-05-08/2023-05-14,2334.693174514285,2476.7567585048023,142.06358399051723,2,6.084893104639866
2023-05-15/2023-05-21,2476.7567585048023,2503.3563005055544,26.599542000751907,1,1.073966666666526
2023-05-22/2023-05-28,2503.3563005055544,2582.748743562309,79.39244305675439,1,3.1714400000000476
2023-05-29/2023-06-04,2582.748743562309,2576.503905044258,-6.244838518051026,2,-0.24179039999987495
2023-06-05/2023-06-11,2576.503905044258,2748.4364181543333,171.93251311007538,2,6.673093441599964
2023-06-12/2023-06-18,2748.4364181543333,2804.038386268161,55.60196811382767,1,2.0230399999999316
2023-06-19/2023-06-25,2804.038386268161,2804.038386268161,0.0,0,0.0
2023-06-26/2023-07-02,2804.038386268161,2722.7212730663814,-81.31711320177976,1,-2.9000000000001025
2023-07-03/2023-07-09,2722.7212730663814,2643.7623561474534,-78.95891691892807,1,-2.9000000000001136
2023-07-10/2023-07-16,2643.7623561474534,2668.040907118076,24.278550970622817,1,0.9183333333333987
2023-07-17/2023-07-23,2668.040907118076,2668.040907118076,0.0,0,0.0
2023-07-24/2023-07-30,2668.040907118076,2668.040907118076,0.0,0,0.0
2023-07-31/2023-08-06,2668.040907118076,2668.040907118076,0.0,0,0.0
2023-08-07/2023-08-13,2668.040907118076,2668.040907118076,0.0,0,0.0
2023-08-14/2023-08-20,2668.040907118076,2668.040907118076,0.0,0,0.0
2023-08-21/2023-08-27,2668.040907118076,2590.667720811649,-77.37318630642717,1,-2.9000000000001136
2023-08-28/2023-09-03,2590.667720811649,2632.8403370828355,42.17261627118655,1,1.6278666666666997
